text,term_true,cat_true,pol_true,analysis
it is perfect for everything i need it for .,['LAPTOP'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Laptop', 'segment': 'it is perfect for everything i need it for', 'sentiment': 'positive'}]"
provided just what i wanted at a resonable price .,['LAPTOP'],['PRICE'],['2'],"[{'category': 'Value', 'aspect': 'Laptop', 'segment': 'provided just what i wanted', 'sentiment': 'positive'}, {'category': 'Value', 'aspect': 'Laptop', 'segment': 'at a reasonable price', 'sentiment': 'positive'}]"
this laptop is fast and does what i need without problems .,['LAPTOP'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Laptop', 'segment': 'this laptop is fast', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'Laptop', 'segment': 'does what i need without problems', 'sentiment': 'positive'}]"
great price and great performance but terrible battery .,"['LAPTOP', 'LAPTOP', 'BATTERY']","['PRICE', 'OPERATION_PERFORMANCE', 'GENERAL']","['2', '2', '0']","[{'category': 'Price', 'aspect': 'Laptop', 'segment': 'great price', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'Laptop', 'segment': 'great performance', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'Battery', 'segment': 'terrible battery', 'sentiment': 'negative'}]"
it is a little slow .,['LAPTOP'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'it is a little slow', 'sentiment': 'negative'}]"
"great computer , setup was fast and easy .","['LAPTOP', 'LAPTOP', 'LAPTOP']","['GENERAL', 'USABILITY', 'USABILITY']","['2', '2', '2']","[{'category': 'General', 'aspect': 'Laptop', 'segment': 'great computer', 'sentiment': 'positive'}, {'category': 'Usability', 'aspect': 'Setup', 'segment': 'setup was fast and easy', 'sentiment': 'positive'}]"
"i am inlove with this laptop literally , it ' s nice size 15 .",['LAPTOP'],['DESIGN_FEATURES'],['2'],"[{'category': 'Design_Features', 'aspect': 'Size', 'segment': 'nice size 15 . 6 inches', 'sentiment': 'positive'}]"
graphics are good for the level of this laptop .,['GRAPHICS'],['GENERAL'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Graphics', 'segment': 'graphics are good for the level of this laptop', 'sentiment': 'positive'}]"
finally got the warranty honored after almost 6 months .,['WARRANTY'],['GENERAL'],['0'],"[{'category': 'Quality', 'aspect': 'Warranty', 'segment': 'got the warranty honored', 'sentiment': 'positive'}]"
plenty of buyer returned it since the touch screen has phantom touch problems right after unboxing or it will eventually happen within 3 months .,['DISPLAY'],['QUALITY'],['0'],"[{'category': 'Quality', 'aspect': 'Touchscreen', 'segment': 'plenty of buyer returned it since the touch screen has phantom touch problems right after unboxing', 'sentiment': 'negative'}, {'category': 'Quality', 'aspect': 'Touchscreen', 'segment': 'or it will eventually happen within 3 months', 'sentiment': 'negative'}]"
"consequently , i am no longer covered and my otherwise great chromebook becomes unusable anytime the phantom touches appear .","['LAPTOP', 'KEYBOARD']","['GENERAL', 'GENERAL']","['2', '0']","[{'category': 'Usability', 'aspect': 'Screen', 'segment': 'my otherwise great chromebook becomes unusable anytime the phantom touches appear', 'sentiment': 'negative'}]"
i have tried to fix the pixel with online videos and websites with no effect .,['DISPLAY'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Screen', 'segment': 'i have tried to fix the pixel', 'sentiment': 'negative'}, {'category': 'Operation_Performance', 'aspect': 'Screen', 'segment': 'with online videos and websites with no effect', 'sentiment': 'negative'}]"
"the beautiful screen is said to be identical to the pixelbook in size , aspect ratio , and resolution .",['DISPLAY'],['DESIGN_FEATURES'],['2'],"[{'category': 'Design_Features', 'aspect': 'Display', 'segment': 'the beautiful screen', 'sentiment': 'positive'}, {'category': 'Design_Features', 'aspect': 'Display', 'segment': 'identical to the pixelbook in size , aspect ratio , and resolution', 'sentiment': 'positive'}]"
"after using the 3 : 2 aspect ratio , i think i prefer it to normal 16 : 9 , as far as chromebooks go .",['DISPLAY'],['DESIGN_FEATURES'],['1'],"[{'category': 'Design_Features', 'aspect': 'Display', 'segment': 'after using the 3 : 2 aspect ratio', 'sentiment': 'positive'}, {'category': 'Design_Features', 'aspect': 'Display', 'segment': 'i think i prefer it to normal 16 : 9', 'sentiment': 'positive'}]"
"it was fine for a solid two days , from there on it has been nonstop , reset to factory settings .","['LAPTOP', 'LAPTOP', 'LAPTOP']","['OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE']","['2', '2', '0']","[{'category': 'Operation_Performance', 'aspect': 'Laptop', 'segment': 'it was fine for a solid two days', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'Laptop', 'segment': 'from there on it has been nonstop , reset to factory settings', 'sentiment': 'negative'}]"
"idk if that ' s how chromeos usually is , or maybe there is something wrong with the hardware but this is very annoying .",['HARDWARE'],['QUALITY'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Hardware', 'segment': ""idk if that ' s how chromeos usually is , or maybe there is something wrong with the hardware"", 'sentiment': 'negative'}, {'category': 'Operation_Performance', 'aspect': 'Hardware', 'segment': 'this is very annoying', 'sentiment': 'negative'}]"
"i get that this is meant to store everything in the cloud so it should be no big deal , but when your trying to get work done where there is no access to the internet ( since google docs works offline ) it is practically useless when it has to reset itself to factory settings just after turning it on .",['OS'],['DESIGN_FEATURES'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Software', 'segment': 'i get that this is meant to store everything in the cloud', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'Software', 'segment': 'google docs works offline', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'Software', 'segment': 'it is practically useless when it has to reset itself to factory settings just after turning it on', 'sentiment': 'negative'}]"
the touch screen works wonderfully .,['DISPLAY'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Touchscreen', 'segment': 'the touch screen works wonderfully', 'sentiment': 'positive'}]"
"as others have noted , the backspace key is small .",['KEYBOARD'],['DESIGN_FEATURES'],['0'],"[{'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': 'the backspace key is small', 'sentiment': 'negative'}]"
my biggest irk today though is that the screen is not very durable .,['DISPLAY'],['QUALITY'],['0'],"[{'category': 'Design_Features', 'aspect': 'Display', 'segment': 'the screen is not very durable', 'sentiment': 'negative'}]"
"hard reboot , reset , refresh + power , esc + refresh + power , charging , letting it drain , nothing brought it back to life .",['LAPTOP'],['USABILITY'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Battery', 'segment': 'hard reboot , reset , refresh + power , esc + refresh + power , charging , letting it drain , nothing brought it back to life', 'sentiment': 'negative'}]"
"needless to say trip number three to best buy was a pure return , since being 0 / 2 on such an expensive device leaves a bad taste , you know ?",['LAPTOP'],['PRICE'],['0'],"[{'category': 'Quality', 'aspect': 'Device', 'segment': 'being 0 / 2 on such an expensive device leaves a bad taste', 'sentiment': 'negative'}]"
"gorgeous screen , small profile , lightweight , built in stylus , i could go on and on about how awesome this thing was .","['DISPLAY', 'LAPTOP', 'LAPTOP', 'HARDWARE']","['DESIGN_FEATURES', 'DESIGN_FEATURES', 'DESIGN_FEATURES', 'DESIGN_FEATURES']","['2', '2', '2', '2']","[{'category': 'Design_Features', 'aspect': 'Screen', 'segment': 'gorgeous screen', 'sentiment': 'positive'}, {'category': 'Design_Features', 'aspect': 'Size', 'segment': 'small profile', 'sentiment': 'positive'}, {'category': 'Design_Features', 'aspect': 'Weight', 'segment': 'lightweight', 'sentiment': 'positive'}, {'category': 'Design_Features', 'aspect': 'Stylus', 'segment': 'built in stylus', 'sentiment': 'positive'}]"
"this review might be dismissed as i am missing the ` ` verified purchase ` ` stamp , which is fair .",['SUPPORT'],['GENERAL'],['1'],"[{'category': 'General', 'aspect': 'Reviews', 'segment': 'this review might be dismissed', 'sentiment': 'negative'}, {'category': 'General', 'aspect': 'Reviews', 'segment': 'missing the ` ` verified purchase ` ` stamp', 'sentiment': 'negative'}]"
i wouldn ' t recommend this as a starting computer for children because they ' d learn incorrect navigation and have to adapt later to standard laptops .,['LAPTOP'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Usability', 'aspect': 'OS', 'segment': ""i wouldn ' t recommend this as a starting computer for children because they ' d learn incorrect navigation"", 'sentiment': 'negative'}]"
"look , dont buy it .",['LAPTOP'],['GENERAL'],['0'],"[{'category': 'General', 'aspect': 'Laptop', 'segment': 'dont buy it', 'sentiment': 'negative'}]"
the screen does look good .,['DISPLAY'],['GENERAL'],['2'],"[{'category': 'Design_Features', 'aspect': 'Display', 'segment': 'the screen does look good', 'sentiment': 'positive'}]"
terrible quality and not really enjoyable to use apps on the playstore .,"['LAPTOP', 'SOFTWARE']","['QUALITY', 'GENERAL']","['0', '0']","[{'category': 'Quality', 'aspect': 'Apps', 'segment': 'terrible quality', 'sentiment': 'negative'}, {'category': 'Quality', 'aspect': 'Apps', 'segment': 'not really enjoyable to use apps', 'sentiment': 'negative'}]"
battery life its ok .,['BATTERY'],['GENERAL'],['1'],"[{'category': 'Operation_Performance', 'aspect': 'Battery', 'segment': 'battery life its ok', 'sentiment': 'neutral'}]"
"then i got it home , worked with it for awhile , and realized just how easy it is to misfire unless you land dead nuts center in the middle of the key on your stroke .",['KEYBOARD'],['GENERAL'],['0'],"[{'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': 'just how easy it is to misfire unless you land dead nuts center in the middle of the key on your stroke', 'sentiment': 'negative'}]"
"another star off for android app support , which simply isn ' t ready for prime time .",['SOFTWARE'],['QUALITY'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Software', 'segment': 'android app support', 'sentiment': 'negative'}, {'category': 'Operation_Performance', 'aspect': 'Software', 'segment': ""which simply isn ' t ready for prime time"", 'sentiment': 'negative'}]"
"i didn ' t find a single android app that was optimized for chrome os ( not that my search was exhaustive , admittedly ) , so was disappointed pretty much every time .",['SOFTWARE'],['DESIGN_FEATURES'],['0'],"[{'category': 'Usability', 'aspect': 'OS', 'segment': ""i didn ' t find a single android app that was optimized for chrome os"", 'sentiment': 'negative'}, {'category': 'Usability', 'aspect': 'OS', 'segment': 'so was disappointed pretty much every time', 'sentiment': 'negative'}]"
"battery life was mediocre , too , come to think of it .",['BATTERY'],['GENERAL'],['1'],"[{'category': 'Operation_Performance', 'aspect': 'Battery', 'segment': 'battery life was mediocre', 'sentiment': 'negative'}]"
amazon gave me the option of returning for refund or trying to have it repaired .,['SUPPORT'],['GENERAL'],['1'],"[{'category': 'Quality', 'aspect': 'Company', 'segment': 'amazon gave me the option of returning for refund or trying to have it repaired', 'sentiment': 'positive'}]"
"battery is good , display and keyboard are pretty great .","['BATTERY', 'DISPLAY', 'KEYBOARD']","['GENERAL', 'GENERAL', 'GENERAL']","['2', '2', '2']","[{'category': 'Operation_Performance', 'aspect': 'Battery', 'segment': 'battery is good', 'sentiment': 'positive'}, {'category': 'Design_Features', 'aspect': 'Display', 'segment': 'display and keyboard are pretty great', 'sentiment': 'positive'}]"
there ' s nothing ` ` pro ` ` about this tablet .,['LAPTOP'],['GENERAL'],['0'],"[{'category': 'Design_Features', 'aspect': 'Tablet', 'segment': ""there ' s nothing ` ` pro ` ` about this tablet"", 'sentiment': 'negative'}]"
unless it ' s a really bad baby and chromeos + samsung = bad baby !,"['LAPTOP', 'COMPANY', 'COMPANY']","['GENERAL', 'GENERAL', 'GENERAL']","['0', '0', '0']","[{'category': 'Quality', 'aspect': 'OS', 'segment': ""unless it ' s a really bad baby and chromeos + samsung = bad baby !"", 'sentiment': 'negative'}]"
sounds nice until you realize that your computer just doesn ' t let you do things and then calls it secure .,['LAPTOP'],['DESIGN_FEATURES'],['0'],"[{'category': 'Usability', 'aspect': 'OS', 'segment': 'sounds nice', 'sentiment': 'positive'}, {'category': 'Usability', 'aspect': 'OS', 'segment': ""your computer just doesn ' t let you do things and then calls it secure"", 'sentiment': 'negative'}]"
the keyboard lacks a backlight which is inconvenient in low light situations .,['KEYBOARD'],['USABILITY'],['0'],"[{'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': 'the keyboard lacks a backlight', 'sentiment': 'negative'}, {'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': 'which is inconvenient in low light situations', 'sentiment': 'negative'}]"
"when you stack up all these strengths and offer them at a price of $ 299 , you ' re getting a fairly impressive value proposition here with this chromebook .",['LAPTOP'],['PRICE'],['2'],"[{'category': 'Value', 'aspect': 'Chromebook', 'segment': ""you ' re getting a fairly impressive value proposition here with this chromebook"", 'sentiment': 'positive'}]"
"at $ 300 , this is a great purchase .",['LAPTOP'],['PRICE'],['2'],"[{'category': 'Price', 'aspect': 'Laptop', 'segment': '$ 300', 'sentiment': 'positive'}, {'category': 'Price', 'aspect': 'Laptop', 'segment': 'this is a great purchase', 'sentiment': 'positive'}]"
"which leads me to my next point , the omnipresent comments about ` ` this feels like a $ 1000 computer ! ` `",['LAPTOP'],['PRICE'],['2'],"[{'category': 'Value', 'aspect': 'Laptop', 'segment': 'the omnipresent comments about ` ` this feels like a $ 1000 computer ! ` `', 'sentiment': 'positive'}]"
this isn ' t say the acer is bad in the abstract ; far from it .,['COMPANY'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Laptop', 'segment': ""this isn ' t say the acer is bad in the abstract"", 'sentiment': 'negative'}, {'category': 'General', 'aspect': 'Laptop', 'segment': 'far from it', 'sentiment': 'negative'}]"
"it has a nice , oversize trackpad that - like pretty much all chromebooks - is responsive and a pleasure to use .","['KEYBOARD', 'KEYBOARD', 'KEYBOARD', 'KEYBOARD']","['DESIGN_FEATURES', 'DESIGN_FEATURES', 'OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE']","['2', '2', '2', '2']","[{'category': 'Design_Features', 'aspect': 'Trackpad', 'segment': 'nice , oversize trackpad', 'sentiment': 'positive'}, {'category': 'Design_Features', 'aspect': 'Trackpad', 'segment': 'responsive and a pleasure to use', 'sentiment': 'positive'}]"
"the performance never lags , it meets the 10 - 12 hour battery life promise in my usage tests , and it ' s quickly become my go - to computer for both home and work .",['BATTERY'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Battery', 'segment': 'it meets the 10 - 12 hour battery life promise', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'the performance never lags', 'sentiment': 'positive'}]"
"this unit not only has a nice aluminum shell ( which is very attractive ) , but it also has a decent keyboard , with much better tactile properties than any chromebooks i ' ve looked at in the past .","['LAPTOP', 'LAPTOP', 'LAPTOP', 'LAPTOP']","['DESIGN_FEATURES', 'DESIGN_FEATURES', 'DESIGN_FEATURES', 'DESIGN_FEATURES']","['2', '2', '2', '2']","[{'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': 'decent keyboard', 'sentiment': 'positive'}, {'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': 'much better tactile properties', 'sentiment': 'positive'}, {'category': 'Design_Features', 'aspect': 'Laptop', 'segment': 'nice aluminum shell', 'sentiment': 'positive'}]"
"when i was comparing this model against other manufacturer ' s / model ' s , the only thing that made me pause was the lack of a card reader / writer .",['PORTS'],['GENERAL'],['0'],"[{'category': 'Design_Features', 'aspect': 'Optical_Drives', 'segment': 'lack of a card reader / writer', 'sentiment': 'negative'}]"
i love it !,['LAPTOP'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Laptop', 'segment': 'i love it', 'sentiment': 'positive'}]"
"this isn ' t a powerhouse , i ' ve never pushed it , it probably wouldn ' t handle the 20 + tabs over multiple windows / desktops that i ' m used to on chrome on the desktop , but for 99 % of ` ` regular people ` ` this is an unbelievably good laptop .",['LAPTOP'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': ""this isn ' t a powerhouse"", 'sentiment': 'negative'}, {'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': ""i ' ve never pushed it"", 'sentiment': 'negative'}, {'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': ""it probably wouldn ' t handle the 20 + tabs over multiple windows / desktops"", 'sentiment': 'negative'}, {'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'for 99 % of ` ` regular people ` ` this is an unbelievably good laptop', 'sentiment': 'positive'}]"
the battery life is incredible and charges from 0 % to 100 % in about an hour and a half while in use .,['BATTERY'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Battery', 'segment': 'the battery life is incredible', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'Battery', 'segment': 'charges from 0 % to 100 % in about an hour and a half while in use', 'sentiment': 'positive'}]"
"overall , it performs well enough for my daily internet needs .",['LAPTOP'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Laptop', 'segment': 'overall , it performs well enough for my daily internet needs', 'sentiment': 'positive'}]"
my only wish is that it were a little more quick / less laggy given it is a chromebook - but for the price point its a great buy .,['LAPTOP'],['PRICE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'a little more quick / less laggy', 'sentiment': 'negative'}]"
little bit of a learning curve with chrome os .,['OS'],['GENERAL'],['0'],"[{'category': 'Usability', 'aspect': 'OS', 'segment': 'little bit of a learning curve with chrome os', 'sentiment': 'neutral'}]"
so it appears the play store does not recognize this devise at this time .,['LAPTOP'],['USABILITY'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Software', 'segment': 'the play store does not recognize this devise at this time', 'sentiment': 'negative'}]"
"chromebook seems like the kind of device that you review after a few weeks , and by the time anything happens to it that affects use , the replacement will be just as much or cheaper , twice as powerful , and come with ` ` angry birds ` ` installed by default .",['LAPTOP'],['GENERAL'],['0'],"[{'category': 'General', 'aspect': 'Laptop', 'segment': 'chromebook seems like the kind of device that you review after a few weeks', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'Laptop', 'segment': 'by the time anything happens to it that affects use , the replacement will be just as much or cheaper , twice as powerful', 'sentiment': 'positive'}]"
"the hdmi and usb ports are on the left side , the back has no ports at all , and , misery !",['PORTS'],['DESIGN_FEATURES'],['0'],"[{'category': 'Connectivity', 'aspect': 'Ports', 'segment': 'the hdmi and usb ports are on the left side', 'sentiment': 'negative'}, {'category': 'Connectivity', 'aspect': 'Ports', 'segment': 'the back has no ports at all', 'sentiment': 'negative'}]"
the initial feel for this chromebook is superb .,['LAPTOP'],['GENERAL'],['2'],"[{'category': 'Design_Features', 'aspect': 'Chromebook', 'segment': 'the initial feel for this chromebook is superb', 'sentiment': 'positive'}]"
the quad - core celeron n3160 gets a respectable near - 8000 octane score .,['CPU'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'the quad - core celeron n3160 gets a respectable near - 8000 octane score', 'sentiment': 'positive'}]"
"this is a solid , well - balanced design .","['LAPTOP', 'LAPTOP']","['DESIGN_FEATURES', 'DESIGN_FEATURES']","['2', '2']","[{'category': 'Design_Features', 'aspect': 'Laptop', 'segment': 'this is a solid , well - balanced design', 'sentiment': 'positive'}]"
"first time chromebook user , and this has been my favorite laptop ever .",['LAPTOP'],['GENERAL'],['2'],"[{'category': 'Usability', 'aspect': 'OS', 'segment': 'first time chromebook user', 'sentiment': 'positive'}, {'category': 'General', 'aspect': 'Laptop', 'segment': 'this has been my favorite laptop ever', 'sentiment': 'positive'}]"
i ' m been quite pleased at how well the chromebook has worked for all these tasks .,['LAPTOP'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Chromebook', 'segment': ""i ' m been quite pleased at how well the chromebook has worked"", 'sentiment': 'positive'}]"
"as for software , chromeos is a decent thin - client operating system which can do more than most people think .",['OS'],['USABILITY'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Software', 'segment': 'chromeos is a decent thin - client operating system', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'Software', 'segment': 'which can do more than most people think', 'sentiment': 'positive'}]"
"i was hesitant at first because of the price , but i have to say that this is honestly an amazing machine .","['LAPTOP', 'LAPTOP']","['PRICE', 'GENERAL']","['1', '2']","[{'category': 'Price', 'aspect': 'Laptop', 'segment': 'i was hesitant at first because of the price', 'sentiment': 'negative'}, {'category': 'Price', 'aspect': 'Laptop', 'segment': 'this is honestly an amazing machine', 'sentiment': 'positive'}]"
"secondly , this is a really aesthetically pleasing machine .",['LAPTOP'],['DESIGN_FEATURES'],['2'],"[{'category': 'Design_Features', 'aspect': 'Laptop', 'segment': 'this is a really aesthetically pleasing machine', 'sentiment': 'positive'}]"
"there are , as with everything , several growth opportunities for this model .",['LAPTOP'],['GENERAL'],['1'],"[{'category': 'General', 'aspect': 'Laptop', 'segment': 'several growth opportunities for this model', 'sentiment': 'positive'}]"
"secondly , the trackpad feels a bit delicate .",['KEYBOARD'],['QUALITY'],['0'],"[{'category': 'Design_Features', 'aspect': 'Trackpad', 'segment': 'the trackpad feels a bit delicate', 'sentiment': 'negative'}]"
the battery is good .,['BATTERY'],['GENERAL'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Battery', 'segment': 'the battery is good', 'sentiment': 'positive'}]"
"if you are looking for a laptop to check emails , watch movies , to shop , basic documentation , then this is an ideal one .",['LAPTOP'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Usability', 'aspect': 'Laptop', 'segment': 'if you are looking for a laptop to check emails , watch movies , to shop , basic documentation , then this is an ideal one', 'sentiment': 'positive'}]"
i have had q & a on this chromebook asking if it will download ms office .,['LAPTOP'],['USABILITY'],['1'],"[{'category': 'Usability', 'aspect': 'OS', 'segment': 'i have had q & a on this chromebook asking if it will download ms office', 'sentiment': 'neutral'}]"
battery seems to be pretty good .,['BATTERY'],['GENERAL'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Battery', 'segment': 'battery seems to be pretty good', 'sentiment': 'positive'}]"
"with the slow celeron processor , browsing does not feel snappy .",['CPU'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'with the slow celeron processor', 'sentiment': 'negative'}, {'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'browsing does not feel snappy', 'sentiment': 'negative'}]"
this is my second chromebook and my next purchase will be a chromebase to replace my home pc .,['LAPTOP'],['GENERAL'],['1'],"[{'category': 'General', 'aspect': 'Chromebook', 'segment': 'this is my second chromebook', 'sentiment': 'positive'}, {'category': 'General', 'aspect': 'Chromebook', 'segment': 'my next purchase will be a chromebase to replace my home pc', 'sentiment': 'positive'}]"
it does everything that i need and is surprisingly fast .,['LAPTOP'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'is surprisingly fast', 'sentiment': 'positive'}]"
i want to cry because this doesn ' t support google play store !,['LAPTOP'],['DESIGN_FEATURES'],['0'],"[{'category': 'Usability', 'aspect': 'OS', 'segment': ""this doesn ' t support google play store"", 'sentiment': 'negative'}]"
i ' m a graphic designer / gamer and my creative software operates with no problems and i ' m able to play the sims 4 and world of warcraft on very high settings with no problems at all .,['GRAPHICS'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Games', 'segment': ""i ' m able to play the sims 4 and world of warcraft on very high settings with no problems at all"", 'sentiment': 'positive'}]"
this is a huge plus !,['LAPTOP'],['PORTABILITY'],['2'],"[{'category': 'General', 'aspect': 'Laptop', 'segment': 'this is a huge plus', 'sentiment': 'positive'}]"
drives are now solid state drive .,['HARD_DISC'],['GENERAL'],['1'],"[{'category': 'Operation_Performance', 'aspect': 'Hard_Disc', 'segment': 'drives are now solid state drive', 'sentiment': 'positive'}]"
new built - in speakers .,['MULTIMEDIA_DEVICES'],['DESIGN_FEATURES'],['2'],"[{'category': 'Design_Features', 'aspect': 'Multimedia_Devices', 'segment': 'new built - in speakers', 'sentiment': 'positive'}]"
no dvd drive .,['MULTIMEDIA_DEVICES'],['GENERAL'],['0'],"[{'category': 'Design_Features', 'aspect': 'Optical_Drives', 'segment': 'no dvd drive', 'sentiment': 'negative'}]"
"i couldn ' t drag - and - drop items in it , but after i changed the behavior in settings , everything went well from there .",['HARDWARE'],['OPERATION_PERFORMANCE'],['1'],"[{'category': 'Usability', 'aspect': 'OS', 'segment': ""i couldn ' t drag - and - drop items in it"", 'sentiment': 'negative'}, {'category': 'Usability', 'aspect': 'OS', 'segment': 'after i changed the behavior in settings , everything went well from there', 'sentiment': 'positive'}]"
it is pretty light if you are coming from any other laptop .,['LAPTOP'],['PORTABILITY'],['2'],"[{'category': 'Portability', 'aspect': 'Laptop', 'segment': 'pretty light', 'sentiment': 'positive'}]"
very sharp screen and good viewing angles .,"['DISPLAY', 'DISPLAY']","['GENERAL', 'GENERAL']","['2', '2']","[{'category': 'Design_Features', 'aspect': 'Display', 'segment': 'very sharp screen', 'sentiment': 'positive'}, {'category': 'Design_Features', 'aspect': 'Display', 'segment': 'good viewing angles', 'sentiment': 'positive'}]"
something about os x running with a high resolution display just looks classy in a way that a windows computer could never match .,"['OS', 'DISPLAY']","['GENERAL', 'OPERATION_PERFORMANCE']","['2', '2']","[{'category': 'Design_Features', 'aspect': 'Display', 'segment': 'something about os x running with a high resolution display just looks classy', 'sentiment': 'positive'}]"
no complaints here .,['BATTERY'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Laptop', 'segment': 'no complaints here', 'sentiment': 'positive'}]"
this computer is blazing fast .,['LAPTOP'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'this computer is blazing fast', 'sentiment': 'positive'}]"
"with os x yosemite , the os is very refined and elegant .","['OS', 'OS', 'OS', 'OS']","['OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE']","['2', '2', '2', '2']","[{'category': 'Usability', 'aspect': 'OS', 'segment': 'os x yosemite', 'sentiment': 'positive'}, {'category': 'Usability', 'aspect': 'OS', 'segment': 'the os is very refined and elegant', 'sentiment': 'positive'}]"
the laptop works great and the package was delivered on time .,"['LAPTOP', 'SHIPPING']","['OPERATION_PERFORMANCE', 'GENERAL']","['2', '2']","[{'category': 'Operation_Performance', 'aspect': 'Laptop', 'segment': 'the laptop works great', 'sentiment': 'positive'}, {'category': 'Quality', 'aspect': 'Shipping', 'segment': 'the package was delivered on time', 'sentiment': 'positive'}]"
this thing is fast and efficient .,"['LAPTOP', 'LAPTOP']","['OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE']","['2', '2']","[{'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'this thing is fast', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'efficient', 'sentiment': 'positive'}]"
"this computer is very high quality , do not believe anything on the market can touch it .",['LAPTOP'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Laptop', 'segment': 'this computer is very high quality', 'sentiment': 'positive'}]"
"the backlighting is comparable , but the mbp gets brighter .","['KEYBOARD', 'KEYBOARD']","['GENERAL', 'DESIGN_FEATURES']","['2', '2']","[{'category': 'Design_Features', 'aspect': 'Display', 'segment': 'the backlighting is comparable', 'sentiment': 'positive'}, {'category': 'Design_Features', 'aspect': 'Display', 'segment': 'the mbp gets brighter', 'sentiment': 'positive'}]"
the thunderbolt ports are a nice thing to have on the mbp .,['PORTS'],['DESIGN_FEATURES'],['2'],"[{'category': 'Connectivity', 'aspect': 'Ports', 'segment': 'the thunderbolt ports are a nice thing to have on the mbp', 'sentiment': 'positive'}]"
