category,aspect,segment,sentiment,review_id
Food_Quality,restaurant,this delightful restaurant,positive,321
Food_Variety,restaurant,on 2nd street,neutral,321
Food_Taste,restaurant,wow what a great evening we had,positive,321
Food,Food,"the food is fantastic, authentic, delicious",positive,322
Food,Price,"and very, very affordable",positive,322
Design_Features,Decor,the decor was beautiful and unique,positive,323
Atmosphere,Vibe,there was a really nice vibe about the place,positive,324
Atmosphere,Music,good music,positive,324
Atmosphere,People,happy looking people,positive,324
Service,Server,our server was very professional and friendly,positive,325
Food_Quality,Restaurant,to the owners of open sesame . . . bravo . . . i ca n ' t wait to come back to dine at your restaurant !,positive,326
Food,Everything,everything on the menu,positive,328
Service,Waiters,the waiters are very experienced and helpful,positive,329
Service,Waiters,with pairing your drink choice to your food tastes or vice versa,positive,329
Food,Sushi,the sushi is as fresh as it comes,positive,330
Atmosphere,Ocean,you ' d think ocean was in their backyard,positive,330
Food_Quality,Taste,good tasting,positive,331
Food_Quality,Smell,without the fish taste or smell,positive,331
Food_Quantity,Portion size,large portions,positive,331
Creativity,Sushi,creative sushi dishes,positive,331
Food,Pizza,big thick pepperoni pizza,positive,332
Food,Pepperoni,the pepperoni ' s cut real thick,positive,333
Food,Pizza,"the pizza itself is not exactly the best i ' ve had ever , but still pretty good . ",positive,334
Food,Food,food was good,positive,335
Food,Food,and appetizing,positive,335
Food_Quantity,Food,portions was just enough for me,positive,336
Food_Quantity,Food,but may not be for a big eater,negative,336
Food,Menu,fair menu selection,neutral,337
Food,Appetizer,the appetizer was interesting,positive,338
Food,Creme Brulee,but the creme brulee was very savory and delicious,positive,338
Weather,outside,if it ' s nice outside,positive,340
Service,table,request for a table in the balcony,positive,340
Atmosphere,Place,it ' s a great place,positive,341
Atmosphere,People,to people watch,neutral,341
Food,Food,exeptional food,positive,342
Service,Seating,we were seated right away,positive,343
Atmosphere,Privacy,the table was private and nice,positive,343
Service,Service,the service was exceptional,positive,344
Service,Waiter,sometime there was a feeling that we were served by the army of friendly waiters,positive,344
Food,Food,the food was very good,positive,345
Food,Filet Mignon,filet mignon was probably the best i ' ve ever try,positive,345
Food_Quality,Portion size,the portions are big though,positive,346
Food_Quantity,Portion size,so do not order too much,negative,346
Sound,Music,groovy music,positive,347
Atmosphere,Dinner,the dinner casual,positive,347
Bathroom,Bathroom Attendant,there was a bathroom attendant in the restroom,negative,348
Bathroom,Odd,which was odd,negative,348
Design_Features,Bathroom,the bathroom itself is very small with two toilets and only one sink,negative,349
Cleanliness,Bathroom,the girl was staying totally on the way hanging out paper towels from the dispenser,negative,349
Food,Taste,mercedes restaurant is so tasty,positive,350
Service,Service,the service is undeniably awesome,positive,350
Food_Quality,Catering,the catering is out of this world,positive,351
Food_Quality,Soup,Raouls chicken vegetable soup rocks my world,positive,351
Food_and_Drinks,Drinks,drinks are suberb,positive,352
Location,Country,i feel like i am in a third world country,negative,352
Atmosphere,Snooze,the presentation of snooze is excellent,positive,353
Atmosphere,Snooze,you feel more sophisticated just for being there,positive,353
Food,Snooze,peel back the layers and you have an overpriced ihop,negative,353
Food,Snooze,with a high brow menu,negative,353
Food_and_Drink,Orange Juice,8 - 10 oz of orange juice,positive,354
Food_and_Drink,Orange Juice,$ 3,positive,354
Food_and_Drink,Serve,"they serve it in a tall, skinny hour-glass shaped glass",negative,355
Food_and_Drink,Disguise,to disguise the fact that you a getting a small juice at the price of a half gallon in a supermarket,negative,355
Food_Menu,Menu,their menu was so unique,positive,356
Service,Service,i should have just asked for the check,negative,356
Food,Pancakes,the pancakes were certainly inventive,positive,357
Food,Pancakes,$ 8 . 50 for 3 - 6 ' ' pancakes ( one of them was more like 5 ' ' ) in the pancake flight ( sample of 3 different pancakes ) is well over - priced,negative,357
Food,Pancakes,the pancakes should be larger,negative,358
Food,Pancakes,at least 8 ' ',negative,358
Food,Pancakes,to justify the expense,negative,358
Food,Pancakes,with the unique offerings,positive,358
Food,Eggs,i had to send back my eggs for a simple request of breaking the yokes before cooking,negative,359
Food,Meal,"i had to send back my eggs for a simple request of breaking the yokes before cooking, and would have had to send them back again if i had n ' t rejected the meal all together",negative,359
Operation_Performance,Eggs,in the process of attempting to fix the eggs,negative,360
Operation_Performance,Dish,they broke something else in the dish,negative,360
Food,Pancakes,4 small pancakes,positive,361
Food,Burrito,a breakfast burrito,positive,361
Food,Orange Juice,an orange juice,positive,361
Food,Iced Tea,an iced tea,positive,361
Food,Water,i had water,positive,361
Food_Quality,Dinner,my dinner at ray ' s boathouse last friday,positive,363
Food_and_Service,Food,i had suspected that the accolades were more due to the scenery than to the food,negative,364
Food_and_Service,Service,i had suspected that the accolades were more due to the scenery than to the service,negative,364
Views,Views,the views are only the third - best thing,negative,365
Best Thing,Best Thing,about ray ' s !,positive,365
Service,Server,"to start things off, our lovely server brooke was quickly on hand to take my drink order",positive,366
Food_Quality,Shilshole Sampler,we splurged on the shilshole sampler,positive,367
Food_Quality,White Gulf Prawns,enormous white gulf prawns,positive,367
Food_Quality,Smoked Albacore Tuna,smoked albacore tuna,positive,367
Food_Quality,Ray's Fantastic Manila Clams,ray's fantastic manila clams seasoned with dill,positive,367
Food_Quality,Scallops,scallops in a tasty soy dressing,positive,367
Food_Quality,Dungeness Crab,tiny pile of dungeness crab atop a sublime butter sauce,positive,367
Food_Quality,Scallops,seared alaskan sea scallops,positive,368
Food_Quality,Chard,chard,positive,368
Food_Quality,Artichoke Hearts,artichoke hearts,positive,368
Food_Quality,Fennel,fennel,positive,368
Food_Quality,Pecorino Toscano,pecorino toscano,positive,368
Food_Quality,Scallops,the scallops are apparently cooked in a black olive butter which really makes them unique,positive,369
Food_Quality,Scallops,( not to mention tasty ),positive,369
Food,Grilled Alaskan King Salmon,grilled alaskan king salmon,positive,370
Food,Creamed Washington Russet Potatoes,delectable creamed washington russet potatoes,positive,370
Food,Crisp Green Beans,crisp green beans,positive,370
Food,Taste,"I had a taste of all three items on her plate, ",positive,371
Food,Quality,and they were superb.,positive,371
Service,Server,our server continued to be attentive throughout the night,positive,372
Atmosphere,Ray's,who thinks that ray's is an appropriate place to take young children for dinner?,negative,372
Service,Server,our wonderful server,positive,373
Food,Food,food made the experience a very positive one,positive,373
Food,Restaurant,do n't leave the restaurant without it,positive,376
General,Place,This place,positive,378
Customer Service,attitude,snotty attitude,negative,379
Service,Rude,we were treated very rudely here one time for breakfast,negative,380
Operation_Performance,Waiting,we never had to wait more than 5 minutes,positive,381
Quality,French Fries,they are not greasy or anything,positive,382
Food,Pagoda,pagoda,negative,384
,,i will not go back,negative,385
Sentiment,Return,i will never return again,negative,386
General,Experience,it was absolutely amazing,positive,387
Activities,Weekend,this coming weekend,positive,389
Food,Meal,finally a meal that you will remember for a long time,positive,392
Operation_Performance,Overall,very disappointing,negative,393
Service,restaurant,i took my parents here for their anniversary,negative,394
Operation_Performance,Overall,very disappointed,negative,396
Service,Sake,we were then charged for their most expensive sake ( $ 20 + per serving ) when we in fact drank a sake of less than half that price,negative,397
General,Charming Time,you are bound to have a very charming time,positive,398
Operation_Performance,All,it is not worth going at all and spend your money there ! ! !,negative,400
Price,Mexican,pretty cheap for sit down mexican,positive,401
Location,Downtown,and downtown,positive,401
Recommendation,Area,if you ' re in the area,positive,402
Recommendation,Disappointment,you should n ' t be disappointed,negative,402
Operation_Performance,CPU,it has a slow processor,negative,403
Service,Order Taking,took forever to get our order taken,negative,404
Service,Water Refills,water refills were too much to ask for,negative,404
Service,Bill,we asked for our bill,positive,404
General,,i do n ' t know if i ' ll be back . . . .,negative,405
Service,Waiting Time,its worth the wait,positive,407
Service,Notification,especially since they ' ll give you a call when the table is ready,positive,407
Entertainment,Bingo,to play bingo,positive,408
Entertainment,Watching the game,and watch the sox game,positive,408
General,It,it was a blast,positive,408
Experience,Place,been there lots since and its always a good time,positive,410
Housing,Home,i found a new home on second avenue,positive,411
none,none,just go there and see for yourself,none,412
General,Guys,kudos to these guys,positive,414
Home,Home,i found a new home,positive,415
Home,Lease,with a long lease,positive,415
Atmosphere,Crowd,unless you are just stopping in for a few drinks,negative,416
Recommendation,Place,i would n't recommend going here,negative,416
Operation_Performance,CPU,you are likely to be disappointed,negative,417
Atmosphere,Romantic,it was romantic,positive,418
Atmosphere,Nice,even nice,positive,418
Atmosphere,Italy,reminded me of italy,positive,418
Atmosphere,Mediterranean,had artwork and music that kept up the feeling of being in a mediterrean villa,positive,418
Recommendation,Price,I recommend it for a night when you want to splurge!,positive,419
Recommendation,Price,( it was a bit expensive ),negative,419
General,Prices,the prices are also quite reasonable,positive,420
Location,Beverly Center,tucked away over by the beverly center,positive,422
Food,Indian,you routinely see indian families and friends dining there,positive,423
Service,Places,"normally, places ask how hot you want it, but they didn't",negative,424
Food,Mildness,i should have thought to bring it up but never expected the food to be that mild,negative,425
Food,To-Go,you can order to go,positive,428
Food,Back to office,if you have to get back to the office too,positive,428
Food,Lebanese,Lebanese food,positive,429
Food,Open Sesame,"I've been to Open Sesame only once, ",positive,430
Food,Open Sesame,but I'm still reeling from the experience!,positive,430
Food,Taste,tastly,positive,431
Food,Flakiness,flaky,positive,431
Food,Side Dishes,we ' ve just not gotten some side dishes we ' ve ordered,negative,432
Service,Drinks,we waited over 30 minutes for our drinks,negative,433
Service,Food,we waited over 1 1 / 2 hours for our food,negative,433
Operation_Performance,CPU,it has a slow processor,negative,434
Food,restaurant,dining at a completely different restaurant,positive,435
Experience,Returning,we have since returned,positive,436
Experience,Great experience,also had a great experience,positive,436
Food,Small plates,sampling more small plates,positive,436
Food,Variety,a variety of the beer,positive,436
Drink,Beer,the beer,positive,436
Drink,Temperature,cold and good,positive,436
Service,Waiter,"we did have the same waiter the second time, ",positive,437
Service,Service,so maybe the service is spotty and our luck is good.,neutral,437
Entertainment,Band,sunday afternoons there is a band playing,positive,438
Entertainment,Fun,and it is lots of fun,positive,438
Atmosphere,restaurant,one of the best places you could ever eat,positive,440
Atmosphere,restaurant,what once was one of the best places you could ever eat,negative,440
General,food,you could ever eat,positive,440
General,Scooner,i hope one day scooner or later returns to what it once was,positive,441
Operation_Performance,CPU,"untill this happens , my advice is to stay away .",negative,442
Food,Ray's,Ray's rates as the place we always go back to,positive,444
Sentiment,liked,i liked it,positive,445
Food_Quality,Food,"it was so much though that i could barely finish but i did , since it was delicious",positive,446
Food,freshness,as far as the freshness is concerned,positive,451
Money,Price,$ 6 with tip,positive,454
Service,Waiting Time,you might have to wait for couple hours,negative,456
Service,Cellphone Number,they do take your cellphone numbers,negative,457
Service,Hang Out,so that you can go hang out somewhere else,negative,457
Service,Cellphone,till they call you up on your cellphone,negative,457
Restaurant_Business,Compliment,"That's a huge compliment, ",positive,458
Restaurant_Business,Business,"especially in the fickled restaurant business, ",neutral,458
General,Expression,. . . enough already!,negative,458
Service,Valet Parking,there ' s also valet parking,positive,459
Location,Cozy Spot,a cozy spot for 2,positive,460
Location,View of the City,with a view of the city,positive,460
Longevity,Murphy's,Murphy's has been around for over 25 years,positive,461
Experience,Friend,i went there with a friend from out of town,positive,463
Experience,Impressed,we were both very impressed,positive,463
Price,Price,the price was right too,positive,464
Experience,Place,i ' d go back there,positive,465
Service,Meal,once seated it took about 30 minutes to finally get the meal,negative,467
Design_Features,Kid-Friendly,the prior reviews said kid friendly,positive,468
Design_Features,Kid-Friendly,with two young children,positive,468
Food,Cooking,the place is the next best thing to my moms cooking,positive,470
Operation_Performance,Cut to the chase,this is amazing,positive,473
Atmosphere,unpretentious,it ' s unpretentious,positive,474
Atmosphere,underground,and underground,positive,474
Food_and_Drink,Food,"it ' s fresh , welcoming , delicious , and relaxing .",positive,475
Recommendation,Recommendation,i went here on a recommendation,positive,476
Return,Return,will surely return time and time again,positive,476
Food_Dining,Dining,good for late night dining,positive,479
Food_Dining,Dining,last minute planning,positive,479
Food_Dining,Dining,without reservations,positive,479
Sentiment,love,love it every time,positive,480
Customer_Service,Company,never had one single problem there,positive,481
Food,Seafood,seafood plus the staff,positive,482
Food_Dining,Dining,this was great dining experience,positive,483
Recommendation,Danny Gans,do n't miss this one,positive,484
Location,Mirage,staying at the Mirage,neutral,484
Service,Order,"even then , the order was not correct and we were still waiting for a couple items",negative,486
Service,Waitress,we had a very hard time getting the waitress' attention,negative,487
Service,Manager,and finally had to get up and go inside to speak to a manager,positive,487
Service,Owner,as it turns out the owner was seated right next to us and when he came over to check on our problems was very dismissive and offered a token 20 % discount on our bill,negative,488
Service,Bill,when the bill came,negative,489
Service,Discount,he only took the discount off the food and not the drinks,negative,489
Service,He,it was clear he didn't really care,negative,490
Recommendation,,– save yourself the waste of time & do not visit .,negative,491
Service,Waiter,after sitting there with my empty glass for over 20 minutes,negative,492
Service,restaurant,i emailed the restaurant about the non existent service,negative,493
Website,link,there is a link for a give away that does n ' t work,negative,493
Communication,Customer Service,i never heard back from anyone,negative,494
Service,Bartender,the bar keep had made only 2 drinks & kept telling us she ' d be right with us,negative,495
General,,always a winner,positive,497
Service,Customer Service,she does n ' t make you feel welcome,negative,498
Service,Customer Service,treats you like an annoyance,negative,498
Personality,Friendly,she is very friendly with certain people,positive,499
Personality,Friendly,making it even more annoying,negative,499
Management,Management,management should really take notice,negative,500
Staff,Waitstaff,and train their waitstaff,neutral,500
Staff,Manners,and teach them some proper manners,neutral,500
Food,Food Network,they have been featured on the food network,positive,501
Food,Food,and they deserve it,positive,501
Sound,Sound,you can easily hear him though so it was a pleasant sound,positive,503
Sound,Sound,and not overbearing,negative,503
Food,Food,the food came fast and all together,positive,505
Food,Food,i like that,positive,505
Service,Service,i hate the pretentiousness of things coming in one after the other,negative,505
Food,Food,yummy,positive,506
Food,Food,I love it,positive,506
Taste,Chewy,not chewy at all,negative,507
Food,Mango Ginger Creme Brulee,for desert we had the mango ginger creme brulee,positive,508
Taste,Food,melt in your mouth,positive,509
Food,Restaurant,we are for sure coming back to this restaurant,positive,510
Food_Dining,Eating,it is sad there is not many people who frequent eating at places like these that look pricey because they are at the hotel,negative,511
Food_Dining,Eating,but they are definitely one you dont want to miss,positive,511
Location,San Jose,esp if your in downtown san jose,positive,511
Price,Dinner,we easily spent more than $ 40 per person,negative,512
Food,Dinner,were still hungry,negative,512
Price,Restaurant,This restaurant,negative,513
Service,Waiting Time,we were told that it ' d be a 30 minute wait,negative,514
Service,Restaurant,we were seated at one of the tables that was available 30 minutes ago,negative,515
Service,Food,"we ordered 4 appetizers, the food did n't arrive until 45 minutes later",negative,517
Food_Dining,Bread,they do n ' t have bread service,negative,519
Service,teapot of hot water,my wife also ordered a teapot of hot water,neutral,520
Service,to actually bring it,it was n't a priority for them to actually bring it,negative,520
Customer Service,Customer Service,you do n't rate high on their 'service scale',negative,521
Location,restaurant,its great if you spent the day there and did n ' t want to drive to eat,positive,522
Location,Parking,parking is reasonably good,positive,523
Location,Parking,they have their own lot,positive,523
Location,Parking,you can park in the park nearby,positive,523
General,,always good,positive,524
Service,Seating,we were quickly seated,positive,525
Service,Serving,and served,positive,525
Service,Food,our food was dropped off without comment,negative,526
Service,Stopping by table,no one stopped by the table,negative,527
Service,Delivery,"when we finally were able to flag someone down, it was someone entirely different from the person who had dropped off the food",negative,528
Service,Ordering,who was also not the same person who had taken our order,negative,528
Service,Manager,a brief conversation with the manager at the end of the meal,negative,529
Service,Manager,to say we had been ` ` blown off ' ' would be an understatement,negative,529
Service,Waitress,the waitress who had flown off in a rage,negative,531
Service,Promise,she promised to speak to the waitress,positive,531
Service,Name,"but we could hardly take her promise seriously , seeing as she had n ' t bothered to get the waitresses name",negative,531
Food,Sushi,he / she has an urge for sushi,positive,533
Restaurant,Place,then this might be the place,neutral,533
Value,Price,and they give good quantity for the price,positive,534
Food_and_Drink,Dinner,we picked rays for dinner,positive,535
Recommendation,Local Fun,"seriously, you can't go wrong",positive,538
Taste,Mouthfeel,my mouth felt very dry afterwards,negative,539
Taste,Taste,i had that signature ? msg ? taste lingering in my throat after i left the restaurant,negative,539
Food_Quality,Cupcakes,they came in their own nifty take out box and with some homemade frosting,positive,540
Food_Quality,Cupcakes,very light and not - too - sweet,positive,540
Food_Dining,Dinner,the dinner only took us about an hour,positive,541
Food_Dining,Prices,the prices were alright for the strip,positive,541
Fashion,Clothing,just remember to dress a little urban - chic so you don ? t look too far out of place,positive,542
Price,Laptop,This laptop is overpriced,negative,544
Service,Table,waited 35 minutes for a table for 8,negative,545
Service,Crowd,which was ok for such a big crowd,positive,545
General,Not sure,not sure,negative,546
General,Would go back,if i would go back,negative,546
Service,Staff,"they are n't the most talkative, ",negative,548
Service,Staff,"but everytime i've been there they have been very busy, ",positive,548
Service,Staff,which probably accounts for the lack of conversation.,neutral,548
Food,Feeling,you never feel icky and stuffed after you eat there,positive,551
Food,Pizza,the pizza ' s are light and scrumptious,positive,552
Operation_Performance,Waiting Time,had to wait thirty minutes to get in the door on a tuesday morning,negative,554
Operation_Performance,Waiting Time,but it was so worth it,positive,554
Food_and_Drink,Breakfast,enjoy more than your average breakfast,positive,555
Atmosphere,Friends,go with some friends,positive,555
Service,Wait Time,wait the half hour or so,negative,555
Sentiment,Great Review,i do n ' t know why anyone would want to write a great review about this place,negative,556
Operation_Performance,CPU,donot go !,negative,557
Service,Seating,we waited for an hour to be seated,negative,559
Operation_Performance,Wait,it was worth the wait,positive,560
Operation_Performance,Waiting Time,plan on waiting 30 - 70 minutes,negative,561
Service,Service,will definitely be back,positive,562
Food,Food,delicious,positive,563
Experience,Restaurant,i probably would n't go back though,negative,566
Price,Restaurant,i do n't know if it's worth it,negative,566
,,maybe i ' ll go back once more many years from now when i ' ve forgotten i went there already,,567
Location,Balcony,sit in the balcony,positive,568
Service,Service,although the service could be improved,negative,570
Service,Server,our server came by a couple times,positive,571
Food_and_Drink,Drinks,our drinks kept coming,positive,571
Service,check,the check that did not exceed my expectations,positive,573
Experience,Feeling,I felt awkward,negative,574
Planning,Next time,next time,neutral,574
Location,Bathroom,went to the casino bathroom,neutral,574
Atmosphere,Place,this place rocks,positive,575
Food,Chips and Salsa,the chips and salsa are so yummy,positive,576
Prices,Prices,and the prices are fabulous,positive,576
Atmosphere,atmosphere,the atmosphere is aspiring,positive,577
Decor,decor,the decor is festive and amazing,positive,577
Service,Manager,to their credit they removed the dish from the check ; but no manager stopped by to ask what the problem was,negative,580
Dining,Kids,two rascally kids were seated near us for the first part of our dinner,negative,581
Dining,Kids,they were replaced by a delightful preteen,positive,581
Dining,Preteen,delightful preteen who pretended to gag every time seafood was mentioned at her table,negative,581
Food,Ray's Boathouse,"all considered, I have to say that Ray's Boathouse is deserving of its title as a Seattle institution.",positive,582
